ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
147,UGC 326;D3,Galaxy,Cas,9.3,"Size: 12.9  vF, vL, iR, gsmbM *11",0,33.2,+,48,30
153,NGC 151,,Cet,,"pF, pS, R, * nr nf; = 151",0,34,-,9,42
156,,Double Star,Cet,,"vS, np 157",0,34.6,-,8,21
158,,Double Star,Cet,,"vS, nf 157",0,34.9,-,8,19
162,,Galaxy,And,,"eF, stellar, 160 sp",0,36.1,+,23,58
171,NGC 175,,Cet,,"vF, pL, lE, 2 pB st sf; = 175",0,37.4,-,19,56
172,ESO 474-5,Galaxy,Cet,,"Size: 2.6  eF, S, E, *13 close sp",0,37.3,-,22,36
185,UGC 396,Galaxy,Cas,9.2,"Size: 11.5  pB, vL, iR, vgmbM, r",0,39,+,48,20
188,OCL 309,Open Cluster,Cep,8.1,"Size: 14.  Cl, vL, R, 150-200 st 10...18",0,44,+,85,20
195,MCG 2-2-79,Galaxy,Cet,,Size: 1.3  F,0,39.6,-,9,12
205,M 110,Galaxy,And,8,"Size: 17.4  vB, vL, mE 165deg , vgvmbM; ",0,40.4,+,41,41
206,,Cluster Nebulosity,And,,"vF, vL, mE 0deg",0,40.6,+,40,44
207,MCG 3-2-35,,Cet,,"vF, S, lE, stellar",0,40,-,14,18
211,NGC 203,Star,Psc,,"eF, S, mbMN",0,41,+,3,26
217,MCG 2-2-85,Galaxy,Cet,,"Size: 3.3  F, S, lE 90deg , glbM",0,41.5,-,10,2
221,M 32,Galaxy,And,8.2,"Size: 7.6  ! vvB, L, R, psmbMN; = M32",0,42.7,+,40,52
224,M 31,Galaxy,And,3.5,"Size: 178.  !!! eeB, eL, vmE (Andromeda)",0,42.7,+,41,16
225,OCL 305,Open Cluster,Cas,7,"Size: 12.  Cl, L, lC, st 9...10",0,43.4,+,61,47
239,MCG 1-3-7,,Cet,,"pF, pS, E 20deg , bMN, *8 f 20s",0,44.6,-,3,47
246,PK 118-74.1,Planetary Nebula,Cet,8,"Size: 3.8  vF, L, 4 st in dif neb",0,47,-,11,53
247,ESO 540-22,Galaxy,Cet,8.9,"Size: 20.0  F, eL, vmE 172deg",0,47.1,-,20,46
253,ESO 474-29,Galaxy,Scl,7.1,"Size: 25.1  !! vvB, vvL, vmE 54deg , gbM",0,47.6,-,25,17
259,MCG 1-3-15,Galaxy,Cet,,"Size: 3.2  F, S, E 135deg , lbM",0,48.1,-,2,47
264,ESO 295-6,Galaxy,Scl,,"Size: 0.9  F, S, R, vsvmbM *13",0,48.3,-,38,14
272,OCL 312,Open Cluster,And,,"Cl, L, lC",0,51.4,+,35,50
281,IC 11,Cluster Nebulosity,Cas,7,"Size: 35.  F, vL, dif, S triple * on np ",0,52.8,+,56,37
285,KAZ 377,Galaxy,Cet,,"eF, S, R, 3rd of 4",0,53.7,-,13,10
297,,Double Star,Cet,,eF,0,55,-,7,21
300,ESO 295-20,Galaxy,Scl,9,"Size: 20.0  pB, vL, vmiE, vgpmbM",0,54.9,-,37,41
301,,Galaxy,Cet,,"eF, S, iR, gbM, *8 p 30s",0,56.3,-,10,40
302,,Star,Cet,,"eF, vS",0,56.4,-,10,39
303,,Galaxy,Cet,,"eF, vS",0,54.8,-,16,40
305,,Asterism,Psc,,"Cl, S, sc st",0,56,+,12,6
308,,Star,Cet,,"vF, eS, 1' sf 307",0,56.4,-,1,47
310,,Star,Cet,,stellar,0,56.9,-,1,46
314,ESO 411-32,Galaxy,Scl,,"Size: 1.2  eF, vS, R, pB* f 2'",0,56.9,-,31,58
319,ESO 243-13,Galaxy,Phe,,"Size: 1.1  eF, vS, R, lbM",0,57,-,43,50
321,MCG 1-3-43,Galaxy,Cet,,"eF, vS",0,57.4,-,5,2
322,ESO 243-15,Galaxy,Phe,,"Size: 1.3  vF, vS, R, lbM, 3 st p",0,57.2,-,43,44
324,ESO 295-25,Galaxy,Phe,,"(?), F, S, stellar",0,58.6,-,40,30
334,ESO 351-26,Galaxy,Scl,,"vF, S, R, glbM, 2 st 11 s",0,58.8,-,35,8
335,ESO 541-6,Galaxy,Cet,,"Size: 1.2  vF, pS, E, bM",0,59.3,-,18,14
343,,Star,Cet,,"eF, vS, iR, sbMN (*?)",1,0.8,-,23,14
344,,Galaxy,Cet,,"Size: 0.9  eF, vS, iR, sbMN (*?)",1,1.6,-,23,16
358,,Asterism,Cas,,"Cl, vlRi",1,5.2,+,62,2
362,Dunlop 62,Globular Cluster,Tuc,6.6,"Size: 12.9  glob. cl. , vB, vL, vC, vmbM",1,3.2,-,70,51
365,ESO 352-1,Galaxy,Scl,,"F, S, R, glbM",1,4.1,-,35,7
366,OCL 316,Open Cluster,Cas,,"Size: 3.  Cl, S",1,6.4,+,62,14
368,ESO 243-23,Galaxy,Phe,,"eF, vS, *7-8 sp 3'",1,4.4,-,43,16
369,ESO 541-17,Galaxy,Cet,,"Size: 1.3  vF, vS, R, gbM",1,5.1,-,17,45
372,,Triple Star,Psc,,"stellar, mbM, r",1,6.7,+,32,26
373,,Galaxy,Psc,,"vF, vS",1,7,+,32,18
377,ESO 541-19,Triple Star,Cet,,"vF, vS, mE, sbMN",1,6.3,-,20,3
387,,Galaxy,Psc,,"vF, S, R",1,7.5,+,32,23
390,,Galaxy,Psc,,"vF, vS, stellar",1,8.1,+,32,27
396,,Galaxy,Psc,,"eF, S, lE",1,8,+,4,32
408,,Galaxy,Psc,,"vF, vS, 410 f 8s",1,10.9,+,33,6
409,ESO 352-12,Galaxy,Scl,,"Size: 1.5  eF, S, R, vS* nr",1,9.5,-,35,48
415,ESO 352-14,Galaxy,Scl,,"vF, S, R, glbM",1,10.2,-,35,29
424,ESO 296-4,Galaxy,Scl,,"Size: 2.1  vF, S, R, glbM",1,11.5,-,38,5
433,OCL 319,Open Cluster,Cas,,"Size: 3.  Cl, S, lC",1,15.3,+,60,8
438,ESO 296-7,Galaxy,Scl,,"pF, S, R, glbM",1,13.4,-,37,56
453,,Triple Star,Psc,,"vF, vS, R, vF st inv",1,16.3,+,33,5
457,OCL 321,Open Cluster,Cas,6.4,"Size: 13.  Cl, B, L, pRi, st 7, 8, 10",1,19.1,+,58,20
461,ESO 352-33,Galaxy,Scl,,"Size: 1.2  pB, R, glbM",1,17.3,-,33,50
462,NPM1G +03.0047,Galaxy,Psc,,"eF, vS, stellar",1,18.1,+,4,14
464,,Galaxy,And,,S,1,19,+,34,58
475,IC 97,Galaxy,Psc,,"eF, S",1,20,+,14,51
480,,,Cet,,"eF, vS, R (neb?); = 481?",1,20.9,-,9,52
482,ESO 296-13,Galaxy,Phe,,"eF, lE",1,20.3,-,40,57
510,,Galaxy,Psc,,"vF, vS, lE",1,23.7,+,33,26
519,ZWG 385.103,Galaxy,Cet,,"eeF, vS, R, v diffic",1,24.5,-,1,38
526,,Galaxy,Scl,,"F, S, E, p of 2",1,23.9,-,35,3
527,ESO 352-68,Galaxy,Scl,,"F, S, lE, bM, f of 2",1,24,-,35,6
534,ESO 296-21,Galaxy,Scl,,"eeF, S, R, vgbM, 1st of 4",1,24.6,-,38,7
540,ESO 542-12,Galaxy,Cet,,"Size: 1.4  vF, vS, R, sbMN",1,27.1,-,20,2
544,ESO 296-24,Galaxy,Scl,,"eeF, S, R, vgbM, 2nd of 4",1,25.1,-,38,5
546,ESO 296-25,Galaxy,Scl,,"eeF, S, R, vgbM, 3rd of 4",1,25.1,-,38,3
548,UGC 1010,Galaxy,Cet,,"Size: 1.5  eF, eS",1,26,-,1,14
549,,Galaxy,Scl,,"Size: 2.0  eeF, S, R, vgbM, 4th of 4",1,25.5,-,38,16
556,ESO 476-13,,Cet,,"eF, vS, R, 3rd of 3",1,27.2,-,22,42
558,IC 117,Galaxy,Cet,,"Size: 0.7  eF, S, E, *10 p; = IC 117",1,27.3,-,1,58
559,OCL 322,Open Cluster,Cas,9.5,"Size: 4.  Cl, B, pL, pRi",1,29.5,+,63,18
568,IC 1709,Galaxy,Scl,,"vF, S, R",1,27.9,-,35,43
572,ESO 296-31,Galaxy,Scl,,"eF, S, att to S*, B* nr",1,28.6,-,39,18
574,ESO 353-6,Galaxy,Scl,,"vS, D* pos 225deg   inv",1,29,-,35,35
580,NGC 577,,Cet,,"pF, pS, R; = 577",1,30.7,-,2,0
581,M 103,Open Cluster,Cas,7.4,"Size: 6.  Cl, pL, B, R, Ri, st 10...11; ",1,33.2,+,60,42
588,,Nebulosity in External Galaxy,Tri,,"F, p of 2",1,32.7,+,30,40
592,,Nebulosity in External Galaxy,Tri,,"F, pL, f of 2",1,33.2,+,30,39
595,,Nebulosity in External Galaxy,Tri,,"vF, S, R, inv in M33",1,33.5,+,30,42
597,ESO 353-11,Galaxy,Scl,,"F, S, R, bM",1,32.2,-,33,29
598,M 33,Galaxy,Tri,5.7,"Size: 62.  ! eB, eL, R, vgbMN; = M33",1,33.9,+,30,39
603,,Triple Star,Tri,,only an eF*?,1,34.4,+,30,11
604,,Nebulosity in External Galaxy,Tri,,"B, vS, R, vvlbM",1,34.5,+,30,48
607,,,Cet,,"*11, *14 close s",1,34.3,-,7,25
616,,Double Star,Tri,,"neb D*, *8 np",1,36,+,33,46
618,NGC 608,,Tri,,nonexistent,1,36.3,+,33,24
619,ESO 353-21,Galaxy,Scl,,"eeF, vS, R, p of 2",1,34.8,-,36,28
623,ESO 353-23,Galaxy,Scl,,"F, S, R, f of 2",1,35,-,36,29
626,ESO 297-6,Galaxy,Scl,,"pF, S, R, bM",1,35.2,-,39,8
627,NGC 614,,Tri,,nonexistent,1,37.1,+,33,35
628,M 74,Galaxy,Psc,9.2,"Size: 10.2  glob. cl. , F, vL, R, vg, ps",1,36.7,+,15,47
630,ESO 297-9,Galaxy,Scl,,"pF, S, R, bM",1,35.6,-,39,21
633,ESO 297-11,Galaxy,Scl,,"pB, S, R, gbM, **  np",1,36.4,-,37,18
641,ESO 244-42,Galaxy,Phe,,"F, S, R, gpmbM, p of 2",1,38.7,-,42,31
644,ESO 244-43,Galaxy,Phe,,"F, S, vlE, glbM, f of 2",1,38.9,-,42,35
650,M 76,Planetary Nebula,Per,12,"Size: 4.8  vB, p of Dneb; = M76",1,42.3,+,51,34
654,OCL 330,Open Cluster,Cas,6.5,"Size: 5.  Cl, iF, Ri, one *6-7, st 11...",1,44.1,+,61,53
657,OCL 337,Open Cluster,Cas,,"Cl, pRi, st 12",1,43.7,+,55,53
663,OCL 333,Open Cluster,Cas,7.1,"Size: 16.  Cl, B, L, eRi, st pL",1,46,+,61,15
667,ESO 477-2,Galaxy,Cet,,"eF, S, R, *10 np 100""",1,45.1,-,22,56
696,ESO 353-50,Galaxy,For,,"F, S, R",1,49.4,-,34,55
698,ESO 353-51,Galaxy,For,,"eF, S",1,49.6,-,34,50
715,MCG 2-5-69,,Cet,,"eF, S, gbMN",1,53.2,-,12,50
716,IC 1743,Galaxy,Ari,,"eF, S, R, B* f",1,52.9,+,12,32
727,NGC 729,Galaxy,For,,"F, S, R, bM",1,53.7,-,35,52
728,,Triple Star,Psc,,suspected neb,1,55.1,+,4,12
729,NGC 727,Double Star,For,,"eeF, S, R",1,54,-,35,49
730,,Star,Psc,,"vF, very stellar",1,55.3,+,5,37
733,,Galaxy,Tri,,"vF, 2' p 736",1,56.4,+,33,4
734,,Galaxy,Cet,,"vF, vS, R, bMN, *11 p 11s",1,54.8,-,17,3
737,,,Tri,,only a faint star,1,56.7,+,33,3
743,OCL 343,Open Cluster,Cas,,"Size: 5.  Cl, not Ri, D* (h 1098)",1,58.7,+,60,11
748,MCG 1-6-4,Galaxy,Cet,,"Size: 2.9  pF, *9 np",1,56.4,-,4,28
752,OCL 363,Open Cluster,And,5.7,"Size: 50.  Cl, vvL, Ri, st L & sc",1,57.8,+,37,41
755,NGC 763,Galaxy,Cet,,"Size: 4.0  vF, pS, vlE",1,56.4,-,9,4
758,NPM1G -03.0103,Galaxy,Cet,,"vF, vS",1,56,-,3,6
760,,Double Star,Tri,,"vF, R, 761 nf",1,57.8,+,33,21
764,,Double Star,Cet,,"eF, vS, iR, gbM",1,57.2,-,16,2
771,50 CAS,,Cas,4,suspected neb* (50 Cas),2,3.4,+,72,25
808,ESO 478-1,Galaxy,Cet,,"Size: 1.6  vF, pS, vlE",2,4,-,23,19
822,ESO 298-9,Galaxy,Phe,,"cF, vS, R, sbM, r",2,6.6,-,41,9
824,ESO 354-37,Galaxy,For,,"F, S, R, vsvmbM *13",2,6.8,-,36,28
829,MCG 1-6-49,Galaxy,Cet,,"Size: 1.4  F, S, *11 s, 1st of 3",2,8.7,-,7,47
832,,Galaxy,Tri,,"F, vS, *9-10 sp",2,10.1,+,35,32
842,MCG 1-6-55,Galaxy,Cet,,"Size: 2.0  vF, vS, R, psbM, 3rd of 3",2,9.8,-,7,45
843,,Triple Star,Tri,,"glob. cl. , F, S, R",2,11.1,+,32,6
847,NGC 846,Galaxy,And,,"vF, pL, R; = 846",2,12.2,+,44,34
849,ESO 478-9,Galaxy,Cet,,"eF, vS, R (neb?)",2,10.2,-,22,19
854,ESO 354-47,Galaxy,For,,"cF, pS, lE 0deg , gbM",2,11.6,-,35,51
859,NGC 856,,Cet,,"pF, pS, R, lbM; = 856",2,13.9,-,0,44
862,ESO 298-20,Galaxy,Phe,,"F, vS, svmbM",2,13,-,42,4
866,NGC 863,,Cet,,"pF, pS, R, lbM; = 863",2,14.6,-,0,46
867,NGC 875,,Cet,,"eF, vS, R, bM; = 875",2,15.9,+,1,3
869,OCL 350,Open Cluster,Per,4,"Size: 30.  ! Cl, vvL, vRi, st 7...14",2,19,+,57,9
874,ESO 478-G018,,Cet,,no neby; = D*?,2,16.1,-,23,11
876,UGC 1766,Galaxy,Ari,,"Size: 2.1  eF, S, R, 107"" sp 877",2,17.9,+,14,31
879,KUG 0214-091,Galaxy,Cet,,"eF, pS, iR, bM",2,16.8,-,8,58
880,,Galaxy,Cet,,"eF, vS, R, sbMN",2,18.4,-,4,11
881,MCG 1-6-89,Galaxy,Cet,,"Size: 2.9  F, pS, E, bM, 2 or 3 st nr",2,18.7,-,6,35
884,OCL 353,Open Cluster,Per,4,"Size: 30.  ! Cl, vL, vRi, ruby * M",2,22.4,+,57,7
885,NGC 863,,Cet,,"vF, pS, R, lbM; = 863",2,14.6,-,0,46
889,ESO 298-27,Galaxy,Phe,,"vF, vS, R, bM, *7 sf",2,19.1,-,41,45
891,UGC 1831,Galaxy,And,10,"Size: 13.5  ! B, vL, vmE 22deg",2,22.6,+,42,21
892,ESO 478-26,Galaxy,Cet,,"eF, eS, E?, neb?",2,20.7,-,23,7
893,ESO 298-29,Galaxy,Phe,,"pF, pS, R, lbM, *8 f 4'",2,20,-,41,23
896,SG 1.04,Nebula,Cas,,"Size: 27.  eF, pL, iF",2,24.8,+,61,54
897,ESO 355-7,Galaxy,For,,"pB, S, R, psbM, *10 f 35""",2,21.1,-,33,42
903,NPM1G +27.0093,Galaxy,Ari,,"eF, eS, R",2,23.8,+,27,22
905,NPM1G -08.0091,Galaxy,Cet,,"eF, eS, R, *?",2,22.6,-,8,43
913,,Galaxy,And,,"eF, vS, lbM",2,25.8,+,41,48
939,ESO 246-11,Galaxy,Eri,,"vvF, S, R, gvlbM",2,26.4,-,44,26
943,MCG 2-7-18,Galaxy,Cet,,"vF, R, Dneb with 942, F Nucl",2,29.2,-,10,50
954,ESO 299-4,Galaxy,Eri,,"vF, pL, lE, gbM, *8 sf 3'",2,28.9,-,41,25
963,IC 1808,Galaxy,Cet,,"eF, S, R, gbM, r; = IC 1808",2,30.5,-,4,14
964,IC 1814,Galaxy,For,,"pB, pS, mE 215deg",2,31.1,-,36,1
971,,Galaxy,Tri,,"vF, vS, R, 3rd of 5",2,34.2,+,32,59
979,ESO 246-23,Galaxy,Eri,,"F, S, R, bet 2 st in par",2,31.5,-,44,31
994,NGC 993,,Cet,,"eeF, pS, R, vF*; = 993",2,36.7,+,2,3
1006,NGC 1010,,Cet,,"eeF, pS, R, lbM; = 1010",2,37.4,-,11,2
1027,OCL 357,Open Cluster,Cas,6.7,"Size: 20.  Cl, L, sc st, one 10m",2,42.7,+,61,33
1039,M 34,Open Cluster,Per,5.2,"Size: 35.  Cl, B, vL, lC, sc st 9; = M34",2,42,+,42,47
1046,MCG 1-7-24,Galaxy,Cet,,"eF, vS, f of 2",2,41.2,+,8,43
1049,ESO 356-SC3,Globular Cluster,For,,"pB, S, R, stellar",2,39.7,-,34,17
1051,NGC 961,Galaxy,Cet,,"Size: 1.9  eF, lE npsf, * att np; = IC 2",2,41.1,-,6,56
1059,,Double Star,Ari,,nonexistent,2,42.6,+,18,1
1063,MCG 1-7-36,Galaxy,Cet,,"Size: 1.6  vF, pS, iR, r?",2,42.2,-,5,34
1068,M 77,Galaxy,Cet,8.8,"Size: 6.9  vB, pL, iR, sbMrrN; = M77",2,42.7,-,0,1
1080,MCG 1-8-3,Galaxy,Cet,,"Size: 1.4  vF, pS, iR",2,45.2,-,4,43
1091,ESO 546-16,,Eri,,"vF, vS, R, sbMN",2,45.4,-,17,33
1097,ESO 416-20,Galaxy,For,9.3,"Size: 9.3  vB, L, vmE 151deg , vbMN",2,46.3,-,30,17
1108,,Galaxy,Eri,,"eF, pS, R",2,48.6,-,7,58
1110,MCG 01-08-010,Galaxy,Eri,,"Size: 2.7  eF, pL, E 348deg",2,49.3,-,7,51
1111,IC 1850,Galaxy,Ari,,"F, vS, stellar",2,49.7,+,13,8
1119,ESO 546-24,,Eri,,"F, eS, R (F*?)",2,48.3,-,18,1
1141,NGC 1143,,Cet,,"vF, S, p of Dneb; prob = 1143",2,55.2,+,0,28
1142,NGC 1144,,Cet,,"pF, S, R, f of Dneb; prob = 1144",2,55.2,+,0,28
1151,NPM1G -15.0157,Galaxy,Eri,,"eF, S, R (neb?), nr 1150",2,57.1,-,15,0
1157,,Galaxy,Eri,,"eF, pS, E 0deg , sbMN",2,58.2,-,15,7
1163,MCG 3-8-56,Galaxy,Eri,,"Size: 3.4  vF, pS, mE 75deg",3,0.3,-,17,9
1165,ESO 417-8,Galaxy,For,,"Size: 3.1  vF, pL, E, vlbM",2,58.7,-,32,7
1174,NGC 1186,,Per,,"pF, pS, lE, pB* close p; prob = 1186",3,5.5,+,42,49
1180,NPM1G -15.0162,,Eri,,"eF, vS, R, bMN",2,57.1,-,15,0
1181,,,Eri,,"eF, vS, R, bMN",2,57,-,15,2
1182,NGC 1205,Galaxy,Eri,,"eF, pS, E 120deg , *10 sp 2'.5",3,3.5,-,9,40
1188,MCG 03-08-068,,Eri,,"eF, vS, R, p 1209",3,3.7,-,15,30
1202,KUG 0302-066,Galaxy,Eri,,"eF, S, 2 st 4' nf",3,4.9,-,6,29
1205,NGC 1182,,Eri,,"eF, pS, E 25deg , *9.5 3' sp; = 1182",3,2.4,-,9,40
1206,NPM1G -09.0143,Galaxy,Eri,,"eF, vS, vlE 0deg",3,6.1,-,8,50
1212,IC 1883,Galaxy,Per,,"eF, S, R, Algol nr",3,8.6,+,40,51
1217,ESO 300-10,Galaxy,For,,"pF, S, R, psbM",3,6.2,-,39,1
1223,MCG 1-9-3,,Eri,,"eF, S, R, gbMN, p of 2",3,8.3,-,4,9
1225,MCG 1-9-4,,Eri,,"eF, vS, R, f of 2",3,8.8,-,4,6
1235,NGC 1233,Triple Star,Per,,"vF, S, lE",3,12.8,+,38,56
1237,,Double Star,Eri,,"vF, S, E 170deg ; D*?",3,10.7,-,8,40
1240,,Star,Ari,,"eF, vS; vS st?",3,12.9,+,30,34
1251,,Double Star,Cet,,F,3,14.1,+,1,28
1261,GCL 5,Globular Cluster,Hor,8.4,"Size: 6.9  glob. cl. , B, L, R, rr",3,12.3,-,55,13
1269,NGC 1291,,Eri,,"vB, R, gmbM; = 1291",3,17.3,-,41,6
1275,3C84;UGC 2669,Galaxy,Per,11.6,"Size: 2.6  F, S",3,19.8,+,41,31
1276,,Galaxy,Per,,"vF, vS",3,19.9,+,41,33
1279,PGC 12449,Galaxy,Per,,"vF, vS",3,20.1,+,41,28
1287,KUG 0316-029,Galaxy,Eri,,"vF, vS, iR",3,18.6,-,2,45
1290,NPM1G -14.0161,,Eri,,"eF, eS",3,19.4,-,13,59
1295,MCG 2-9-30,,Eri,,"eF, vS, gbMN, *10 f 3'",3,20.1,-,14,0
1306,ESO 481-23,Galaxy,For,,"Size: 1.4  vF, vS, gbM, *10.5 f 4'",3,21,-,25,31
1310,ESO 357-19,Galaxy,For,,"Size: 2.3  glob. cl. , vF, pL, R, vgvlbM",3,21,-,37,8
1312,,Double Star,Tau,,F,3,23.7,+,1,11
1323,NPM1G -02.0119,Galaxy,Eri,,"eF, eS, *13 sp 25"" +/-",3,25,-,2,49
1328,NPM1G -04.0149,Galaxy,Eri,,"vF, eS, R, bMN",3,25.6,-,4,8
1333,LBN 741,Nebula,Per,,"Size: 9.  F, L, *10 nf",3,29.3,+,31,25
1336,ESO 358-2,Galaxy,For,,"vF, S, vlE, gbM",3,26.6,-,35,44
1342,OCL 401,Open Cluster,Per,6.7,"Size: 14.  Cl, vL, ab 60 st",3,31.6,+,37,20
1348,OCL 391,Open Cluster,Per,,"Cl, lRi, st L",3,33.8,+,51,26
1360,PK 220-53.1,Planetary Nebula,For,,"Size: 6.5  *8 in B, L neb, E ns",3,33.3,-,25,51
1361,MCG 1-10-5,Galaxy,Eri,,"eF, eS, gbMN",3,34.2,-,6,15
1363,IRAS03324-1000,Galaxy,Eri,,"vF, S, R, *7 sp 3'.5, sp of 2",3,34.8,-,9,50
1364,,Galaxy,Eri,,"vF, S, vlE, nf of 2",3,35,-,9,50
1372,NPM1G -16.0142,Galaxy,Eri,,"vF, vS, R, glbM",3,37,-,15,53
1373,ESO 358-21,Galaxy,For,,"eF, vS, p of 3",3,35.1,-,35,11
1375,ESO 358-24,Galaxy,For,,"Size: 1.9  B, S, lE, pmbM, 3rd of 3",3,35.2,-,35,16
1378,ESO 358-**30,Double Star,For,,F,3,35.9,-,35,12
1382,NGC 1380B,Galaxy,For,,Size: 2.1  F,3,37.1,-,35,12
1388,NPM1G -16.0146,Galaxy,Eri,,"vF, vS, R, lbM",3,38.3,-,15,53
1391,ESO 548-59,,Eri,,"eF, S, R, gbMN",3,38.5,-,18,21
1392,,Galaxy,Eri,,"vF, pS, R",3,36.8,-,36,16
1410,UGC 2821,Galaxy,Tau,,"makes Dneb with 1409, pos 0deg",3,41.2,-,1,17
1413,NPM1G -15.0199,Galaxy,Eri,,"eF, vS, R, lbM",3,40.3,-,15,35
1414,ESO 548-71,,Eri,,"eF, pS, mE 0deg , bMN",3,41.5,-,21,41
1419,ESO 301-23,Galaxy,Eri,,"pF, pS, R, psbM",3,40.6,-,37,31
1420,,Triple Star,Eri,,"F, vS, *13 p",3,42.7,-,5,51
1428,ESO 358-53,Galaxy,For,,Size: 1.8  F,3,42.4,-,35,10
1429,,Star,Eri,,"eF, vS, E 0deg , gbMN, f of 2",3,44,-,4,43
1432,LBN 772,Nebula,Tau,,"Size: 30.  eF, vL, dif (Maia,  in Pleiad",3,45.8,+,24,22
1435,CED 19I,Nebula,Tau,,"Size: 30.  vF, vL, dif (Merope)",3,46.1,+,23,47
1436,NGC 1437,Galaxy,Eri,,"glob. cl. , vB, pmE, pgbM; = 1437",3,43.6,-,35,51
1438,ESO 482-41,Galaxy,Eri,,"Size: 2.6  eF, mE, N, *10 f 1'",3,45.4,-,23,1
1442,NGC 1440,Galaxy,Eri,,"pB, vS, bM; = 1440",3,45,-,18,16
1443,,Star,Eri,,"vF, nf 1441",3,45.7,-,4,1
1444,OCL 394,Open Cluster,Per,6.6,Size: 4.  Cl of ab 30 st 12...14,3,49.4,+,52,40
1445,,Galaxy,Eri,,"vF, S, R, *9 np 2'",3,44.9,-,9,50
1447,NPM1G -09.0165,Galaxy,Eri,,"vF, S, R, neb? *7-8 f 3'",3,45.8,-,8,59
1450,,Galaxy,Eri,,"eF, pS, R (D, dist 0'.4?)",3,45.6,-,9,13
1455,NGC 1452,Galaxy,Eri,,"Size: 2.6  vF, S, lE 30deg , sbMN; = 145",3,45.4,-,18,38
1457,NGC 1448,Galaxy,Hor,,"pF, pL, eE 42deg , vgpmbM; = 1448",3,44.5,-,44,38
1460,ESO 358-62,Galaxy,Eri,,"F, S, R, * att",3,46.1,-,36,41
1464,NGC 1471,Galaxy,Eri,,"pF, S, R, 2 st nr",3,51.4,-,15,25
1472,NPM1G -08.0152,Galaxy,Eri,,"vF, eS, stell N, 1st of 3",3,53.7,-,8,35
1476,ESO 249-24,Galaxy,Hor,,"Size: 1.7  cF, S, E 90deg , gbM",3,52.1,-,44,32
1477,NPM1G -08.0154,Galaxy,Eri,,"eF, vS, 2nd of 3",3,54,-,8,35
1478,NPM1G -08.0155,Galaxy,Eri,,"eF, vS, 3rd of 3",3,54.1,-,8,34
1480,,,Eri,,"eF, S, iR, f of 2, *10 f 30s",3,54.5,-,10,16
1484,ESO 359-6,Galaxy,Eri,,"vF, L, E, vgvlbM",3,54.2,-,37,0
1491,LBN 704,Nebula,Per,,"Size: 3.  vB, S, iF, bM, r, * inv",4,3.4,+,51,19
