3CA,Latin Name,Latin Genitive,English Name,Proper Name,RA,Decl
Ret,Reticulum,Reticuli,Net,(alpha Ret),04h14m,-62.5°
Scl,Sculptor,Sculptoris,Sculptor,(alpha Scl),00h59m,-29.4°
Sco,Scorpius,Scorpii,Scorpion,Antares,16h29m,-26.4°
Sct,Scutum,Scuti,Shield,(alpha Sct),18h35m,-8.2°
Ser,Serpens,Serpentis,Serpent,,,
,Serpens Caput,,Serpent's Head,Unukalhai,15h44m,+6.4°
,Serpens Cauda,,Serpent's Body,Alava,18h21m,-2.9°
Sex,Sextans,Sextantis,Sextant,(alpha Sex),10h08m,-0.4°
Sge,Sagitta,Sagittae,Arrow,(gamma Sge),19h59m,+19.5°
Sgr,Sagittarius,Sagittarii,Archer,Kaus Australis,18h24m,-34.4°
Tau,Taurus,Tauri,Bull,Aldebaran,04h36m,+16.5°
Tel,Telescopium,Telescopii,Telescope,(alpha Tel),18h27m,-46.0°
TrA,Triangulum Australe,Trianguli Australis,Southern Triangle,(alpha TrA),16h49m,-69.0°
Tri,Triangulum,Trianguli,Triangle,(beta Tri),02h10m,+35.0°
Tuc,Tucana,Tucanae,Toucan,(alpha Tuc),22h19m,-60.3°
UMa,Ursa Major,Ursae Majoris,Big Bear,Alioth,12h54m,+56.0°
UMi,Ursa Minor,Ursae Minoris,Little Bear,Polaris,02h32m,+89.3°
Vel,Vela,Velorum,Sails,Suhail al Muhlif,08h10m,-47.3°
Vir,Virgo,Virginis,Virgin,Spica,13h25m,-11.2°
Vol,Volans,Volantis,Flying Fish,(gamma Vol),07h09m,-70.5°
Vul,Vulpecula,Vulpeculae,Fox,Anser,19h29m,+24.7°
